RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Keon Johnson,Lac,G,19.98,15,9,18.7,21.9,10.4,21,0.762,40,0.35,11,0.273,0.363,0.44,3.5,1.4,8.2,0.9,13.8,0.47,0.13,0.47,7.3,95.3,95.4
,Keon Johnson,Por,G,19.98,2,21.7,45.1,18,16.8,2,1,11,0.273,3,0,0.214,0.269,4,4,10.1,0.5,3.1,1,0.5,1.5,3.7,55.1,111.7
,Stanley Johnson,Lal,F-G,25.75,26,21.3,44.4,12,8.4,33,0.697,75,0.587,52,0.308,0.535,0.562,6.1,3,7.6,1.4,9.1,0.69,0.38,0.5,5.5,116.5,102.4
,Tyler Johnson,Phi,G,29.81,3,12.7,26.5,13,9.1,0,0,3,0.333,7,0.429,0.55,0.55,3.7,2,8.7,0.7,7.4,0.33,0.33,0.33,5.4,108.9,102.4
,Tyler Johnson,San,G,29.81,3,17.7,36.9,8.7,9.1,0,0,4,0,6,0.333,0.3,0.3,2,2,5.9,1.7,10.9,0.67,0.67,0.33,4.3,88.4,111.5
,Nikola Jokic,Den,C,27.03,55,33,68.7,31.1,15.8,309,0.806,706,0.635,236,0.364,0.613,0.651,25.5,13.8,23.2,8,43.6,1.35,0.73,3.67,17.1,125.2,99.3
,Derrick Jones Jr.,Chi,F,25.04,37,17.7,36.9,12.6,10.1,55,0.8,103,0.621,42,0.381,0.607,0.65,5.9,3.5,10.9,0.5,4.1,0.43,0.7,0.51,4.9,131,101.7
,Carlik Jones,Dal,G,24.19,3,6.4,13.3,25.4,27.6,2,1,6,0,1,0,0,0.127,0.7,1,8.6,1.7,32.1,0.33,0,1,6.6,51.5,110.8
,Carlik Jones,Den,G,24.19,2,2,4.2,22,0,0,0,2,0.5,0,0,0.5,0.5,1,0,0,0,0,0,0,0,0,,
,Damian Jones,Sac,C,26.67,40,15,31.3,15.6,17.3,70,0.743,136,0.669,15,0.333,0.652,0.685,6.2,3.8,13.7,1.1,10.5,0.28,0.7,0.95,7.9,126.4,103.1
,Herbert Jones,Nor,F,23.4,58,30,62.5,13.6,13.3,115,0.861,316,0.532,110,0.345,0.528,0.576,9.5,3.9,7.3,2.1,10.1,1.5,0.84,1.26,5.7,114.7,104.5
,Jemerrio Jones,Lal,F,26.89,2,7.4,15.3,8.8,0,0,0,3,0.667,0,0,0.667,0.667,2,1.5,10.8,0,0,0.5,0,0,0,155.5,100.3
,Kai Jones,Cha,C-F,21.11,18,3.1,6.4,17.3,26.6,8,0.375,11,0.636,2,0.5,0.654,0.605,1.1,0.6,10.4,0.2,10.1,0.06,0,0.33,6.6,,
,Mason Jones,Lal,G,23.61,2,4.4,9.2,48.3,10.1,2,0.5,6,0.333,2,0,0.25,0.282,2.5,1,12,0,0,0.5,0,0.5,0,60.1,98.6
,Tre Jones,San,G,22.14,49,14,29.1,15.5,11.9,49,0.878,178,0.556,22,0.136,0.518,0.564,5.1,1.9,7.1,2.6,25,0.47,0,0.61,8.4,120.4,109.3
,Tyus Jones,Mem,G,25.81,56,20.5,42.7,16.3,8.4,47,0.872,252,0.52,144,0.354,0.524,0.547,8.1,2.4,6.1,4.1,27.4,0.91,0.04,0.68,8.4,123.5,111.6
,DeAndre Jordan,Lal,C,33.61,32,12.8,26.6,12.8,17.3,26,0.462,89,0.674,0,0,0.674,0.657,4.1,5.4,22.3,0.4,4.6,0.31,0.81,0.66,6.5,124.6,97.3
,Cory Joseph,Det,G,30.53,50,24.5,51.1,14.6,16.9,85,0.859,194,0.464,118,0.424,0.529,0.577,8.1,2.6,5.7,3.8,23.6,0.66,0.28,1.42,7,113.4,109.9
,Georgios Kalaitzakis,Mil,F,23.16,9,5.3,11.1,17,21.1,9,0.444,7,0.429,4,0.5,0.545,0.535,1.8,0.9,8.8,0,0,0.11,0.11,0.44,0,93.6,97.7
,Frank Kaminsky,Pho,F-C,28.91,9,20.1,41.9,19,6.3,20,0.9,51,0.608,15,0.333,0.583,0.635,10.6,4.6,12,1.4,10.3,0.89,0.78,0.56,8.1,130.8,100.7
,Luke Kennard,Lac,G,25.68,52,27.8,57.9,16.4,8.3,54,0.87,152,0.447,321,0.445,0.597,0.616,11.8,3.5,6.6,2.2,11.8,0.65,0.1,0.87,6.5,118.4,107.7
,Braxton Key,Phi,F,25.04,2,3.2,6.7,28.1,50,0,0,1,1,1,0,0.5,0.5,1,1,17.3,0.5,23.7,0.5,0,1,9.9,,
,George King,Dal,F-G,28.12,4,4.8,10,16.1,14.5,2,0.5,1,0,4,0,0,0.085,0.3,1.3,14.3,0,0,0,0,0.25,0,16.6,86.3
,Louis King,Sac,F,22.9,10,10.4,21.6,21.2,0,10,0.7,20,0.35,27,0.296,0.404,0.438,4.5,1.2,6.2,0.9,12.4,0.2,0.1,0,6.5,100.3,105
,Corey Kispert,Was,F,23,55,20.3,42.3,14.8,9.1,45,0.889,130,0.592,188,0.319,0.525,0.554,6.8,2.6,7.1,1,6.9,0.38,0.29,0.62,5.1,110.6,112.6
,Maxi Kleber,Dal,F,30.09,44,25.1,52.3,13.2,9.8,49,0.755,73,0.589,199,0.362,0.555,0.577,7.7,5.9,13,1.2,6.5,0.55,1.07,0.73,6,116.8,100.3
,Brandon Knight,Dal,G,30.25,3,18.2,37.8,22.7,14.5,8,1,7,0.714,13,0.308,0.55,0.638,10,2.3,7.1,2.7,22.7,0.33,0,1.33,8.7,120.2,102
,Nathan Knight,Min,F-C,24.44,28,6.9,14.4,19,13.7,45,0.711,48,0.521,8,0.25,0.5,0.58,3.1,2.1,16.1,0.5,10.2,0.14,0.25,0.43,8.6,119.4,98.8
,Kevin Knox II,Nyk,F,22.55,13,8.5,17.8,19.5,10.1,10,0.7,12,0.417,28,0.357,0.5,0.529,3.6,1.7,10.6,0.2,4.2,0.15,0.08,0.38,5,106.9,110.6
,Kevin Knox II,Atl,F,22.55,10,6.9,14.3,17.6,7.2,6,0.667,11,0.545,12,0.083,0.326,0.371,1.9,1.3,10.3,0.5,9.6,0.1,0,0.2,6.2,88.3,106.9
,John Konchar,Mem,G,25.94,54,18.4,38.3,9.6,9.5,39,0.59,94,0.574,98,0.418,0.602,0.607,4.7,4.4,12.6,1.4,9.4,0.67,0.3,0.41,6.7,130.5,104.7
,Furkan Korkmaz,Phi,G-F,24.6,53,23.6,49.3,17.7,8.9,76,0.816,184,0.516,232,0.297,0.477,0.511,8.7,2.9,6.9,2.2,13.8,0.58,0.13,0.83,6.5,104.6,110.2
,Luke Kornet,Cle,F-C,26.63,2,7.5,15.5,18.7,0,3,0.667,4,0.25,1,0,0.2,0.316,2,1.5,11,0.5,8.9,0,0.5,0,6.1,96.6,106.7
,Luke Kornet,Mil,F-C,26.63,1,3,6.3,14.3,0,0,0,1,0,0,0,0,0,0,1,17.5,0,0,0,0,0,0,,
,Luke Kornet,Bos,F-C,26.63,3,5.3,11.1,8.2,0,0,0,2,0,1,0,0,0,0,1,10,0.3,7.6,0.67,0,0,0,22.8,96
,Vit Krejci,Okc,G,21.7,9,11.1,23,12.5,13.9,4,1,10,0.7,13,0.154,0.435,0.485,2.7,1.6,7.2,0.8,10.2,0.22,0,0.44,5.4,97.8,103
,Arnoldas Kulboka,Cha,F,24.15,1,2.7,5.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Jonathan Kuminga,Gol,F,19.4,49,14.8,30.8,23.2,12.9,124,0.677,190,0.595,92,0.326,0.56,0.594,8.2,2.9,10.8,0.7,7.3,0.43,0.29,1.02,6.9,108.4,94.7
,Kyle Kuzma,Was,F,26.6,57,33.5,69.8,23.5,13.6,183,0.71,472,0.528,321,0.352,0.528,0.554,17,8.8,14.4,3.1,14.7,0.68,0.86,2.42,9.2,104.2,108
,Anthony Lamb,San,F,24.11,2,3.9,8,11,0,0,0,0,0,2,0,0,0,0,0.5,6.8,1,28.8,0,0,0,0,,
,Jeremy Lamb,Ind,G-F,29.75,39,15.7,32.8,20.2,8.4,80,0.838,111,0.414,117,0.333,0.458,0.524,7.1,2.4,8.5,1.3,11.8,0.59,0.36,0.62,7.2,109.9,109.7
,Jeremy Lamb,Sac,G-F,29.75,4,24.8,51.6,18.9,9.1,11,0.909,17,0.412,18,0.333,0.457,0.527,10.5,5,10.9,2.8,15.6,0.5,1.25,1,8.5,110,112.9
,Jock Landale,San,C,26.35,38,10.3,21.6,19.2,14.6,28,0.857,77,0.61,63,0.333,0.561,0.594,4.8,2.2,11,0.9,11.8,0.18,0.32,0.68,8.2,116.4,107.2
,Romeo Langford,Bos,G-F,22.35,44,16.6,34.5,13,7.4,34,0.588,101,0.495,83,0.349,0.508,0.52,4.7,2.4,7.6,0.4,3.7,0.48,0.36,0.36,4,107.6,104.5
,Zach LaVine,Chi,G-F,26.98,50,34.6,72.1,29.2,11.8,246,0.87,548,0.535,357,0.398,0.559,0.605,24.5,4.8,7.8,4.5,20.7,0.6,0.36,2.72,9.4,113.4,110.9
,Jake Layman,Min,F,27.98,24,7.2,15,14.9,11.4,8,0.75,25,0.6,26,0.154,0.412,0.44,2,1,7.3,0.3,5.5,0.25,0.17,0.29,4.7,89.3,111.6
,Damion Lee,Gol,G-F,29.36,49,20.2,42.1,15.9,8.6,48,0.854,153,0.536,157,0.369,0.545,0.572,7.7,3.1,8.3,1,6.8,0.67,0.1,0.63,5.7,111,102.3
,Saben Lee,Det,G,22.69,28,14.6,30.3,17.4,15.1,43,0.767,78,0.436,44,0.273,0.426,0.486,4.9,2.4,8.7,2.3,23.6,0.93,0.36,0.89,8.2,102.3,109.4
,Alex Len,Sac,C,28.71,34,16.5,34.5,17,18.3,58,0.638,138,0.558,19,0.316,0.548,0.573,6.1,4.5,14.7,1.2,10.5,0.35,0.74,1.21,7.8,108.6,100.2
,Caris LeVert,Ind,G,27.52,39,31.1,64.8,27,9.9,146,0.76,433,0.501,189,0.323,0.496,0.53,18.7,3.8,6.8,4.4,23.3,0.9,0.46,1.92,8.7,108.5,110.8
,Caris LeVert,Cle,G,27.52,4,31,64.5,23.4,9.1,4,0.75,44,0.432,14,0.286,0.431,0.443,13.3,1.5,2.6,3.8,19.1,1.5,0.25,1.5,5.5,93.4,106
,Kira Lewis Jr.,Nor,G,20.9,24,14.2,29.6,22.4,14.7,12,0.833,88,0.523,58,0.224,0.449,0.466,5.9,1.6,6.3,2,22.5,0.46,0.04,1.08,7.5,94.9,111.6
,Scottie Lewis,Cha,G,21.97,2,3.3,6.9,5.6,0,2,0.5,0,0,0,0,,0.568,0.5,0,0,0.5,17.4,0.5,0,0,0,,
,Damian Lillard,Por,G,31.63,29,36.4,75.9,29.4,11.6,181,0.878,268,0.485,284,0.324,0.486,0.55,24,4.1,6.2,7.3,33.6,0.59,0.38,2.86,9.8,112.7,116.6
,Nassir Little,Por,F-G,22.05,42,25.9,54,15.8,10.1,94,0.734,161,0.584,154,0.331,0.541,0.575,9.8,5.6,11.8,1.3,7.3,0.6,0.86,0.95,6.4,115.7,109.9
,Isaiah Livers,Det,F,23.59,2,9,18.6,21.5,11.1,0,0,2,0,6,0.333,0.375,0.375,3,1,6,0.5,8.4,0.5,0.5,0.5,5.1,85.2,107.9
,Kevon Looney,Gol,F,26.06,61,21.4,44.6,13.2,14.2,106,0.613,291,0.56,1,0,0.558,0.577,6.4,7.6,19.2,1.8,11.7,0.64,0.72,0.92,8.3,126,93.4
,Brook Lopez,Mil,C,33.91,1,28.2,58.8,13.7,0,0,0,5,0.2,4,0.5,0.444,0.444,8,5,9.3,0,0,1,3,0,0,104.6,102.5
,Robin Lopez,Orl,C,33.91,27,17.3,36,19.9,16.8,40,0.575,156,0.577,5,0.4,0.578,0.585,7.7,3.6,11.1,1.6,15.8,0.04,0.59,1.33,8.2,112.2,107.4
,Didi Louzada,Nor,G,20,2,3.5,7.2,18.8,0,0,0,0,0,3,0,0,0,0,1,16,0.5,17.9,0,0,0,0,,
,Kevin Love,Cle,F-C,33.48,53,22.1,46.1,26.5,9.8,169,0.858,222,0.468,340,0.388,0.537,0.589,14.1,7.2,17.8,2.2,15.8,0.36,0.25,1.3,11,117.1,101
,Kyle Lowry,Mia,G,35.93,48,34.3,71.5,18.7,20.1,136,0.853,205,0.522,292,0.356,0.529,0.576,13.4,4.6,7.6,7.9,33.5,1.19,0.31,2.92,9.2,114.4,102.9
,Timothe Luwawu-Cabarrot,Atl,G-F,26.81,37,12.3,25.6,14.6,8.6,20,0.85,43,0.419,87,0.368,0.508,0.537,4,1.3,5.9,0.7,7.6,0.35,0.11,0.35,5,109.2,107.7
,Trey Lyles,Det,F,26.32,51,19.4,40.4,22.2,10.5,176,0.784,238,0.55,146,0.301,0.513,0.576,10.4,4.8,13.3,1.1,9.8,0.43,0.51,1.06,7.8,113.6,106.9
,Trey Lyles,Sac,F,26.32,5,12.1,25.2,19.1,11.1,7,0.714,14,0.786,7,0.429,0.738,0.748,7.2,2.8,12.5,0.4,5.4,0,0,0.6,6.6,132.6,111.8
,Theo Maledon,Okc,G,20.72,34,14.2,29.6,18,14.4,46,0.826,76,0.395,76,0.263,0.395,0.459,4.6,1.6,5.9,1.3,13.1,0.5,0.15,0.85,6,92.3,106.9
,Sandro Mamukelashvili,Mil,F-C,22.77,34,9.3,19.3,13.7,10,12,0.75,46,0.522,39,0.385,0.547,0.565,3,1.8,10,0.5,7,0.21,0.21,0.29,6,120.8,108.5
,Terance Mann,Lac,G-F,25.37,62,29,60.4,15.6,9.7,111,0.748,365,0.542,165,0.364,0.543,0.569,10.6,5.3,9.6,2.4,12.1,0.76,0.15,1,7.1,116.1,104.7
,Tre Mann,Okc,G,21.07,48,20.7,43.1,21,8.3,60,0.75,229,0.41,186,0.36,0.469,0.492,9,2.3,5.7,1.3,9.8,0.75,0.19,0.83,5.8,97.5,105.9
,Boban Marjanovic,Dal,C,33.54,17,5.8,12,34.4,14.7,16,0.5,54,0.648,3,0.333,0.64,0.632,4.8,1.8,16.8,0.1,4.6,0,0.12,0.65,6.6,101.8,87.5
,Lauri Markkanen,Cle,F-C,24.78,41,30.4,63.3,19.5,6.7,95,0.853,225,0.516,247,0.348,0.519,0.556,13.9,5.3,9.6,1.4,7.2,0.71,0.56,0.9,6.2,112.8,104
,Naji Marshall,Nor,F,24.1,34,10,20.9,21,15.7,39,0.821,70,0.486,52,0.192,0.402,0.467,3.8,2.1,11.8,0.8,11.6,0.5,0.15,0.76,7.4,94.3,103.2
,Kenyon Martin Jr.,Hou,F,21.15,57,19.9,41.4,17,9.2,90,0.644,268,0.604,106,0.33,0.574,0.589,8.5,3.8,10.5,1.3,10.3,0.42,0.46,0.74,7,117.8,114.1
,Caleb Martin,Mia,F,26.42,47,23,47.8,16.4,9.8,74,0.743,207,0.589,121,0.372,0.578,0.602,9.2,4,9.8,1,6.9,0.98,0.45,0.83,5.8,118.7,103.1
,Cody Martin,Cha,F,26.42,52,26.9,55.9,12.6,11.5,85,0.671,210,0.495,122,0.41,0.539,0.562,8,4.1,8,2.5,12.4,1.31,0.48,0.92,6.5,116.8,110
,Kelan Martin,Ind,F,26.58,27,16.4,34.3,18.2,7.5,13,0.692,94,0.511,74,0.297,0.482,0.492,6.3,2,6.6,0.8,6.9,0.48,0.33,0.52,5.3,101.3,110.5
,Kelan Martin,Bos,F,26.58,1,2.9,6,30.3,0,0,0,2,0,0,0,0,0,0,1,18.4,0,0,0,0,0,0,,
,Garrison Mathews,Hou,G,25.35,43,27.3,56.8,15.5,7,136,0.809,59,0.627,281,0.374,0.572,0.624,11.6,3.3,6.6,1,5.5,0.74,0.33,0.7,4.9,123.3,110.5
,Dakota Mathias,Mem,G,26.64,6,2.7,5.6,15.2,0,0,0,0,0,6,0.333,0.5,0.5,1,0.3,6.4,0.2,8.1,0.17,0,0,5.8,,
,Dakota Mathias,Mem,G,26.64,6,2.7,5.6,15.2,0,0,0,0,0,6,0.333,0.5,0.5,1,0.3,6.4,0.2,8.1,0.17,0,0,5.8,,
,Wesley Matthews,Mil,G,35.38,32,19.4,40.3,11,8.2,12,0.667,38,0.579,103,0.33,0.518,0.526,4.8,1.9,5.3,0.7,4.9,0.44,0.16,0.41,3.8,108.3,105.6
,Tyrese Maxey,Phi,G,21.32,53,35.6,74.1,20.4,7.1,176,0.869,525,0.505,190,0.4,0.53,0.575,17.2,3.6,5.5,4.5,20.2,0.74,0.49,1.15,7.3,118.5,109.1
,Skylar Mays,Atl,G,24.49,24,8.7,18.2,15.8,13.2,9,0.889,37,0.649,25,0.32,0.581,0.606,3.3,1,6.5,0.7,10.8,0.29,0,0.42,6.1,114.4,114.2
,Miles McBride,Nyk,G,21.48,22,7,14.5,18.3,4.7,4,0.75,27,0.37,32,0.156,0.297,0.313,1.7,0.7,5.6,1.1,23.1,0.36,0.05,0.14,6.3,85.4,103.3
,Mac McClung,Chi,G,23.15,1,2.6,5.4,33.8,50,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,,
,CJ McCollum,Por,G,30.45,36,35.2,73.3,26.3,9.2,68,0.706,376,0.476,289,0.384,0.52,0.532,20.5,4.3,6.6,4.5,22.1,0.97,0.58,1.94,8.3,107.5,113.1
,CJ McCollum,Nor,G,30.45,7,35.9,74.9,29.2,8.8,30,0.767,89,0.584,53,0.434,0.609,0.631,28,5.9,9,5.6,30.2,1.57,0,2.14,10.9,123.5,109.9
,T.J. McConnell,Ind,G,29.93,24,24.2,50.4,16,13,15,0.8,156,0.538,25,0.28,0.522,0.536,8.4,3.3,7.6,4.8,28.9,1.04,0.38,1.17,8.4,116.8,109.8
,Jalen McDaniels,Cha,F-C,24.08,39,17.6,36.6,15.2,12.1,46,0.674,111,0.586,86,0.372,0.574,0.592,6.6,3.5,10.3,1.1,8.6,0.51,0.41,0.77,6.7,113.3,105.5
,Jaden McDaniels,Min,F,21.42,59,25.9,53.9,15.2,11.4,59,0.797,254,0.571,212,0.307,0.52,0.541,9,4.2,8.7,1.2,6.4,0.8,0.68,1.07,5.5,106.7,103.2
,Doug McDermott,San,F,30.16,46,24.5,51,18.4,7.1,38,0.763,199,0.508,239,0.435,0.587,0.597,11.8,2.4,5.2,1.3,7.3,0.28,0.09,0.76,5.4,113.6,112
,JaVale McGee,Pho,C-F,34.11,55,16,33.4,23.4,15.9,108,0.685,347,0.651,7,0.286,0.647,0.662,9.7,6.9,22.8,0.6,6.2,0.33,1.02,1.38,8.6,120.6,90.4
,Cameron McGriff,Por,F,24.42,3,15.3,31.9,14.1,0,2,1,8,0.375,6,0.333,0.429,0.47,4.7,5,17.8,1,9.3,0,0.33,0,7.5,125.3,101.9
,Rodney McGruder,Det,G,30.59,36,13.8,28.8,13.4,9,14,0.714,54,0.5,82,0.415,0.574,0.584,4.6,1.9,7.6,0.8,9.2,0.42,0.11,0.39,5.5,116.5,111.1
,Alfonzo McKinnie,Chi,F,29.45,17,12.1,25.3,15.2,9.8,8,0.25,34,0.441,27,0.333,0.467,0.457,3.5,1.9,8.9,0.3,3.2,0.12,0.18,0.41,4.2,95.5,104.1
,JaQuori McLaughlin,Dal,G,24.09,4,2.7,5.7,8.2,0,0,0,1,0,1,0,0,0,0,0,0,0.5,22.6,0,0,0,0,,
,Jordan McLaughlin,Min,G,25.89,44,12.7,26.4,12.3,14.1,31,0.742,78,0.487,49,0.204,0.417,0.459,2.9,1.4,5.8,2.8,28.9,0.68,0.09,0.52,7.1,114,112.2
,Ben McLemore,Por,G,29.05,44,18.7,39,20.3,8,37,0.784,69,0.478,269,0.364,0.533,0.549,8.8,1.6,4.6,0.9,7.5,0.41,0.14,0.7,5,106.2,112.1
,De'Anthony Melton,Mem,G,23.76,54,22.7,47.2,20.9,12.7,90,0.733,248,0.431,254,0.343,0.473,0.499,10,4.6,10.5,2.7,16.2,1.61,0.54,1.46,8.8,104.1,102.8
,Sam Merrill,Mem,G,25.79,6,9.6,20.1,19.8,7.2,4,0.5,1,1,23,0.304,0.479,0.485,4.2,1.2,6.3,0.7,9.2,0,0,0.33,6.3,103.2,111.1
,Chimezie Metu,Sac,F-C,24.94,42,22.2,46.2,18.3,10.5,66,0.773,185,0.557,143,0.28,0.497,0.528,9,5.9,14.2,1.1,7.3,0.83,0.57,1,7,103,108.2
,Khris Middleton,Mil,F,30.55,50,32.1,66.9,26.6,14.5,230,0.883,429,0.499,321,0.358,0.515,0.573,19.5,5.4,8.9,5.3,25.4,1.14,0.26,2.88,10.3,111.6,104.9
,CJ Miles,Bos,G,34.95,1,2,4.2,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Paul Millsap,Bro,F,37.05,24,11.3,23.4,16.5,10.6,17,0.706,58,0.448,27,0.222,0.412,0.443,3.4,3.7,17.7,1,12,0.21,0.46,0.46,8.2,105.2,95
,Paul Millsap,Phi,F,37.05,4,11,22.8,23.3,13.3,6,0.667,12,0.5,5,0.4,0.529,0.56,5.5,3,15.2,0.8,10.8,0.25,0,0.75,8.6,116.4,89.4
,Patty Mills,Bro,G,33.55,61,30.6,63.8,17.2,7.9,53,0.811,207,0.425,458,0.408,0.554,0.567,12.8,2.1,3.7,2.6,11.8,0.7,0.26,0.97,5.4,112.5,114.3
,Shake Milton,Phi,G-F,25.43,33,23.4,48.8,20.5,10.8,56,0.875,202,0.47,87,0.287,0.458,0.501,9.5,3,7.1,2.8,17.9,0.67,0.36,1.15,7.4,103.3,105.5
,Davion Mitchell,Sac,G,23.49,56,25.7,53.5,19.9,10.2,44,0.568,342,0.465,240,0.317,0.469,0.475,10.2,2.3,4.8,3.4,19.2,0.73,0.3,1.21,6.7,99.8,112.4
,Donovan Mitchell,Uta,G,25.48,48,33.5,69.8,32.7,11.7,215,0.87,514,0.543,459,0.362,0.543,0.582,25.9,4.1,6.7,5.2,27.1,1.63,0.25,2.94,9.8,115.1,105.3
,Evan Mobley,Cle,C,20.7,53,34.1,71.1,20.1,12.8,192,0.682,561,0.531,73,0.26,0.515,0.546,14.8,8.2,13,2.6,11.7,0.79,1.68,1.98,8,107.8,102.5
,Malik Monk,Lal,G,24.07,54,27,56.2,19.2,11.5,80,0.775,242,0.554,299,0.391,0.572,0.591,12.6,3.2,6.4,2.5,13.6,0.76,0.39,1.39,6.9,111.6,109.5
,Greg Monroe,Min,F-C,31.74,3,21,43.8,13.4,19.8,5,0.4,14,0.643,0,0,0.643,0.617,6.7,7,17.6,3.7,24.7,0.67,1.33,1.33,10.6,123.8,100.4
,Greg Monroe,Was,F-C,31.74,2,8.8,18.3,25.2,20,0,0,8,0.5,0,0,0.5,0.5,4,5,31.1,0.5,9.5,0.5,0.5,1,9.8,113.7,101
,Greg Monroe,Mil,F-C,31.74,5,13.9,29,17.8,10.4,9,0.556,22,0.5,0,0,0.5,0.52,5.4,4.2,15.9,0.4,4.1,0.6,0.4,0.6,6,115.3,101.9
,Moses Moody,Gol,G,19.75,36,10,20.8,15.4,5.5,21,0.81,41,0.488,70,0.3,0.464,0.499,3.3,1.5,8,0.3,4.2,0.08,0.17,0.19,4.6,104.9,104.5
,Matt Mooney,Nyk,G,25.06,1,1.9,4,46.2,50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,
,Xavier Moon,Lac,G,27.16,6,13.9,29,20.1,7.8,3,0.667,24,0.458,10,0.3,0.456,0.467,5.5,1.5,5.7,1.7,18.3,0.83,0.17,0.5,6.9,98.8,107.4
,Ja Morant,Mem,G,22.56,49,33.3,69.4,33.7,12.6,354,0.754,792,0.54,221,0.344,0.535,0.578,27.6,5.9,9.2,6.6,34.3,1.2,0.39,3.45,12.3,115.2,108.9
,Juwan Morgan,Tor,F,24.87,1,27.4,57.1,4.7,0,0,0,1,1,2,0.5,0.833,0.833,5,4,7.9,1,4.8,0,0,0,4,183.7,106.8
,Marcus Morris Sr.,Lac,F,32.49,38,30,62.4,23.1,8.3,103,0.854,300,0.473,204,0.382,0.514,0.552,15.9,4.7,8.2,2.1,11.1,0.55,0.29,1.32,7.2,107.5,104.9
,Jaylen Morris,San,G,26.45,3,5.3,11.1,23.1,11.4,4,0.5,4,0,2,0,0,0.129,0.7,0.7,6.6,0.7,13.8,0,0,0.33,5.3,39.5,104.8
,Markieff Morris,Mia,F,32.49,10,18.7,39,19.9,14.3,5,1,48,0.5,22,0.364,0.514,0.533,7.7,2.8,8.4,1.4,11.6,0.3,0.1,1.2,6.7,104.7,100.9
,Monte Morris,Den,G,26.68,55,29.9,62.3,17.8,8.5,58,0.862,346,0.546,239,0.389,0.562,0.579,12.9,2.9,5.4,4.2,20.7,0.67,0.16,1.04,7.2,118.6,111.5
,Emmanuel Mudiay,Sac,G,25.99,2,5.5,11.5,18.5,21,4,0.75,2,0,0,0,0,0.399,1.5,0,0,2,43.1,0.5,0,0.5,0,100.4,108.8
,Mychal Mulder,Orl,G,27.72,15,13,27.1,16.8,10.5,2,1,21,0.333,46,0.283,0.396,0.405,3.7,1.4,5.7,0.2,2.2,0.27,0.07,0.53,3.1,76,111.8
,Ade Murkey,Sac,G,20,1,1.5,3.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Trey Murphy III,Nor,F,21.7,43,12.2,25.4,14.4,6.9,28,0.857,42,0.333,108,0.343,0.463,0.502,3.8,2.1,9.4,0.5,5.6,0.28,0.14,0.28,5.2,109.7,108.7
,Dejounte Murray,San,G,25.44,54,34.6,72.1,26.6,11.3,160,0.769,755,0.502,217,0.318,0.496,0.522,20.1,8.3,12.6,9.4,41,2.02,0.33,2.46,13.4,112.6,106.3
,Mike Muscala,Okc,F-C,30.67,43,13.8,28.7,21,4.9,57,0.842,85,0.506,163,0.429,0.597,0.63,8,3,11.1,0.5,6.3,0.42,0.6,0.33,6.6,124.3,101.8
,Svi Mykhailiuk,Tor,G-F,24.72,46,14.6,30.3,16.4,10.9,32,0.844,93,0.527,122,0.311,0.493,0.522,5.2,2,7.4,0.9,8.9,0.52,0.09,0.61,5.8,106.7,107.9
,Abdel Nader,Pho,F,28.43,14,10.4,21.6,15,21.8,10,0.6,21,0.381,14,0.286,0.4,0.431,2.4,1.9,9.9,0.5,5.9,0.57,0.29,0.79,5.1,78.7,93.7
,Larry Nance Jr.,Por,F-C,29.16,37,23.2,48.3,12.5,11,49,0.653,136,0.61,62,0.306,0.563,0.581,6.9,5.6,13.3,2,12.3,1.03,0.35,0.73,7.3,123.6,107.8
,RJ Nembhard Jr.,Cle,G,22.94,8,6,12.4,12.8,14.4,2,0.5,10,0.5,1,0,0.455,0.463,1.4,0.3,2.3,1.4,32.2,0,0,0.25,5.6,110.5,110.5
,Aaron Nesmith,Bos,G-F,22.37,43,10.5,21.9,17.7,14.3,19,0.842,55,0.6,92,0.25,0.459,0.486,3.5,1.7,8.4,0.4,5.1,0.28,0.09,0.6,5.1,91.1,97.7
,Raul Neto,Was,G,29.78,51,20.7,43.2,18.8,13.8,83,0.747,252,0.528,98,0.265,0.491,0.525,8,2,5.2,3,21.1,0.82,0.02,1.22,7,104.5,108.8
,Malik Newman,Cle,G,25.02,1,7.7,16,39.4,14.5,2,1,4,0.75,1,0,0.6,0.68,8,1,7.1,1,30.2,0,0,1,10.4,117.9,112.4
,Georges Niang,Phi,F,28.7,56,23.1,48.2,17.2,9.5,51,0.863,150,0.493,275,0.396,0.559,0.58,9.3,2.6,6.3,1.5,9.5,0.38,0.16,0.84,5.7,110.8,103
,Daishen Nix,Hou,G,20.04,8,8.4,17.4,19.2,29.7,3,0.333,13,0.769,7,0.429,0.725,0.704,3.8,1.3,8.2,1.3,24.5,0.88,0,1.13,8.9,104.3,111.3
