RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Willie Cauley-Stein,Dal,C,28.54,18,9.8,20.5,10.9,16.3,2,0.5,33,0.455,2,0.5,0.471,0.474,1.9,2.1,11.8,0.5,7,0.33,0.17,0.39,5.1,102.5,100.1
,Willie Cauley-Stein,Phi,C,28.54,1,4.4,9.2,0,,0,0,0,0,0,0,,,0,2,25.1,1,27.9,0,0,0,0,,80.5
,Ahmad Caver,Ind,G,20,1,0.9,1.9,47.9,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
,Justin Champagnie,Tor,G-F,20.67,34,8,16.7,11.9,9.2,9,1,39,0.538,26,0.346,0.531,0.566,2.3,2.1,13.9,0.3,5.6,0.21,0.12,0.21,5.7,128.7,102.8
,Zylan Cheatham,Uta,F,26.29,1,5.2,10.8,25.1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,118.8
,Chris Chiozza,Gol,G,26.28,26,10.7,22.4,13.6,25.2,1,1,22,0.136,43,0.372,0.415,0.42,2.1,1.2,5.8,1.8,21.9,0.35,0,0.85,6.2,91.7,102.2
,Marquese Chriss,Dal,F,24.66,23,11.1,23.2,22.1,13.5,19,0.632,80,0.513,21,0.333,0.51,0.526,5,3.5,17.2,0.5,7.5,0.48,0.43,0.74,7.4,102.1,86.3
,Josh Christopher,Hou,G,20.23,52,16.4,34.1,20.7,17,66,0.773,193,0.523,124,0.315,0.503,0.535,7.1,2.2,7.2,1.8,16.7,0.85,0.13,1.37,7.4,101.3,113.3
,Brandon Clarke,Mem,F,25.44,48,19.1,39.8,17.9,6.3,97,0.66,312,0.673,19,0.211,0.653,0.664,10.3,5.5,14.9,1.4,11.3,0.54,1.04,0.52,9,138.1,102.3
,Gary Clark,Nor,F,27.29,29,10.3,21.5,11.2,7.7,8,0.75,11,0.273,57,0.404,0.551,0.566,2.8,2.5,13.2,0.4,5.1,0.34,0.24,0.21,5.5,119.3,108.4
,Jordan Clarkson,Uta,G,29.73,57,26.3,54.8,27.2,9.5,114,0.833,348,0.52,448,0.319,0.497,0.524,15.5,3.3,6.9,2.4,14.1,0.75,0.23,1.56,7.6,106.1,106.6
,Nic Claxton,Bro,F-C,22.87,27,20.5,42.7,15.9,8.8,55,0.545,162,0.642,0,0,0.642,0.639,8.8,5.4,14.1,0.8,5.9,0.48,1.07,0.67,6.6,128.7,105.1
,Amir Coffey,Lac,G-F,24.7,50,22.3,46.4,14.8,8.3,85,0.871,129,0.574,178,0.382,0.573,0.618,8.5,2.9,6.9,1.7,10.7,0.52,0.2,0.62,6.2,123.1,107.7
,John Collins,Atl,F-C,24.44,50,31.3,65.2,20.5,7.7,160,0.794,445,0.591,160,0.388,0.588,0.621,16.8,7.9,13.8,1.9,9.3,0.64,1.08,1.12,8.1,124.7,105.6
,Zach Collins,San,F-C,24.28,8,16.3,34,19.9,29.3,10,0.7,28,0.5,11,0.273,0.474,0.507,5.5,5.1,16.5,1.9,14.8,0.75,0.38,2.25,9.2,91.6,98.5
,Darren Collison,Lal,G,34.52,3,12.4,25.8,9.2,12.5,0,0,4,0.5,3,0,0.286,0.286,1.3,1.3,5.7,0.7,6.8,0.33,0,0.33,3.4,64.5,101.7
,Mike Conley,Uta,G,34.39,54,28.3,58.9,21.1,12.6,121,0.835,278,0.471,315,0.406,0.545,0.578,13.8,3.1,6,5.3,27.4,1.22,0.33,1.72,8.6,120.5,106.6
,Pat Connaughton,Mil,G,29.15,54,27,56.2,13.6,6.7,37,0.811,108,0.639,307,0.407,0.618,0.63,10.1,4.4,8.5,1.2,6.3,0.94,0.26,0.57,5.6,124.5,108.2
,Tyler Cook,Chi,F,24.44,19,10.3,21.5,12.7,12.4,31,0.645,36,0.611,0,0,0.611,0.645,3.4,2.7,14.7,0.2,2,0.21,0.21,0.37,4.8,127.8,100.3
,Sharife Cooper,Atl,G,20.72,11,3.2,6.7,23.5,26.3,0,0,8,0.25,6,0.167,0.25,0.25,0.6,0.5,7.7,0.5,18.3,0,0,0.45,6.6,,
,Petr Cornelie,Den,F,26.6,13,2.9,6.1,24,19.3,4,0.75,7,0.571,8,0.125,0.367,0.418,1.1,1.1,20.5,0.2,11,0.08,0.08,0.31,8.6,,
,DeMarcus Cousins,Mil,C,31.55,17,16.9,35.1,22.5,10.6,38,0.816,70,0.6,48,0.271,0.521,0.572,9.1,5.8,18,1.1,9.5,0.94,0.47,0.94,9.2,115.6,91.3
,DeMarcus Cousins,Den,C,31.55,10,13.6,28.4,34,23.8,30,0.667,45,0.4,22,0.318,0.425,0.48,7.7,6.6,26.9,1.6,17.6,0.8,0.4,2.5,12.7,89.9,81.8
